"[116.280626, 39.863324, 5848]","[116.280626, 39.863324, 6330]","[116.280626, 39.863324, 5727]","[116.280626, 39.863324, 6736]","[116.280626, 39.863324, 7829]"
"[116.280626, 39.873324, 4525]","[116.280626, 39.873324, 4776]","[116.280626, 39.873324, 5402]","[116.280626, 39.873324, 4965]","[116.280626, 39.873324, 6159]"
"[116.280626, 39.883324, 5064]","[116.280626, 39.883324, 6124]","[116.280626, 39.883324, 5582]","[116.280626, 39.883324, 6412]","[116.280626, 39.883324, 6225]"
"[116.280626, 39.893324, 4938]","[116.280626, 39.893324, 5153]","[116.280626, 39.893324, 6268]","[116.280626, 39.893324, 6982]","[116.280626, 39.893324, 7047]"
"[116.280626, 39.903324, 4885]","[116.280626, 39.903324, 4637]","[116.280626, 39.903324, 4976]","[116.280626, 39.903324, 5099]","[116.280626, 39.903324, 5767]"
"[116.280626, 39.913324, 3503]","[116.280626, 39.913324, 3914]","[116.280626, 39.913324, 4141]","[116.280626, 39.913324, 4694]","[116.280626, 39.913324, 6062]"
"[116.280626, 39.923324, 4279]","[116.280626, 39.923324, 4415]","[116.280626, 39.923324, 4368]","[116.280626, 39.923324, 5798]","[116.280626, 39.923324, 5369]"
"[116.280626, 39.933324, 3767]","[116.280626, 39.933324, 5479]","[116.280626, 39.933324, 4771]","[116.280626, 39.933324, 5667]","[116.280626, 39.933324, 6211]"
"[116.280626, 39.943324, 3699]","[116.280626, 39.943324, 4704]","[116.280626, 39.943324, 4831]","[116.280626, 39.943324, 4849]","[116.280626, 39.943324, 5756]"
"[116.280626, 39.953324, 4481]","[116.280626, 39.953324, 4944]","[116.280626, 39.953324, 5113]","[116.280626, 39.953324, 4668]","[116.280626, 39.953324, 5381]"
"[116.280626, 39.963324, 5200]","[116.280626, 39.963324, 5855]","[116.280626, 39.963324, 6130]","[116.280626, 39.963324, 7341]","[116.280626, 39.963324, 7438]"
"[116.280626, 39.973324, 5034]","[116.280626, 39.973324, 4930]","[116.280626, 39.973324, 5187]","[116.280626, 39.973324, 6475]","[116.280626, 39.973324, 6113]"
"[116.280626, 39.983324, 6875]","[116.280626, 39.983324, 7281]","[116.280626, 39.983324, 7440]","[116.280626, 39.983324, 7910]","[116.280626, 39.983324, 9539]"
